Plot Title: 21067056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Date Time;Pressure, mbar;Rain, mm;Temp, °C;RH, %;Wind Speed, m/s;Gust Speed, m/s;Wind Direction, ø;
1;9/24/2021 16:00;1012.65;;30.596;76.6;2.34;4.01;23.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;9/24/2021 16:01;1012.85;0;30.369;76.5;3.34;3.67;22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;9/24/2021 16:02;1012.75;0;30.343;76.9;2.67;3.34;21.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;9/24/2021 16:03;1012.65;0;30.343;77;3.01;4.01;23.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;9/24/2021 16:04;1012.85;0;30.318;76.7;3.34;4.34;23.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;9/24/2021 16:05;1012.65;0;30.469;78.7;2.67;3.67;28.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;9/24/2021 16:06;1012.65;0;30.646;76.3;2.67;3.34;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;9/24/2021 16:07;1012.75;0;30.697;76.8;2.34;3.34;16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9/24/2021 16:08;1012.85;0;30.748;76.4;2.67;3.34;19.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;9/24/2021 16:09;1012.65;0;30.545;76.3;3.01;3.67;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;9/24/2021 16:10;1012.65;0;30.672;76.6;2.34;3.01;22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;9/24/2021 16:11;1012.65;0;30.748;76.2;2.67;3.34;22.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;9/24/2021 16:12;1012.75;0;30.849;76.6;2.34;3.34;25.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;9/24/2021 16:13;1012.75;0;30.95;73.8;2.67;3.01;19.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;9/24/2021 16:14;1012.75;0;31.052;74.9;2.34;3.01;30.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;9/24/2021 16:15;1012.75;0;31.382;74.1;1.34;2;51.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;9/24/2021 16:16;1012.75;0;31.535;73.5;1.34;2.34;30.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;9/24/2021 16:17;1012.95;0;31.689;74.3;1.34;2.34;42.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;9/24/2021 16:18;1012.95;0;31.612;74.1;1.67;3.01;26.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;9/24/2021 16:19;1012.75;0;31.179;73.6;3.01;4.01;18.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
